Dataset,BtrBlocks,F3,Lance,ORC,Parquet,Vortex,Nimble
bi,0.11,0.14500000000000002,0.48,0.09913793207251889,0.09,0.12,0.10905800245992844
classic,0.41,0.41500000000000004,0.74,0.3893516646839464,0.42,0.4,0.35537006132920423
clickbench,,0.16,0.67,0.0,0.15,0.16,0.23346717791108645
core,0.15,0.21,0.63,0.16192254788461152,0.13,0.18,0.12970334982452067
geo,0.31,0.325,0.67,0.2703283811967211,0.29,0.31,0.2756305774668567
lineitem,0.53,0.16,0.56,0.11198494001312749,0.14,0.16,0.16393803420880412
log,0.08,0.11,0.46,0.08175582592896585,0.06,0.09,0.06487684696223248
ml,0.3,0.395,0.69,0.38417149561027475,0.3,0.36,0.2569295181940912
