filename,total_rows,read_time_ms,throughput_mrows_per_sec
core,1000000,267.144,3.7433
bi,1000000,162.921,6.13793
classic,1000000,509.169,1.96398
geo,1000000,383.704,2.60618
log,1000000,157.556,6.34693
ml,1000000,240.668,4.15511
lineitem_duckdb_double,59986052,11250.9,5.33167
hits_8M,8388608,7313.35,1.14703
