scheme,size,comp_time,target,profile,compr,i
fff,4973162,.797484039,wasm32-wasip1,opt-size,none,3
fff,4973162,.815150454,wasm32-wasip1,opt-size,none,4
fff,4973162,.802485173,wasm32-wasip1,opt-size,none,5
fff,1002091,.798284594,wasm32-wasip1,opt-size,zstd,1
fff,1002091,.789015014,wasm32-wasip1,opt-size,zstd,2
fff,1002091,.829557604,wasm32-wasip1,opt-size,zstd,3
fff,1002091,.810388423,wasm32-wasip1,opt-size,zstd,4
fff,1002091,.815023618,wasm32-wasip1,opt-size,zstd,5
gzip,62796,.051152700,wasm32-wasip1,opt-size,none,1
gzip,62796,.052129778,wasm32-wasip1,opt-size,none,2
gzip,62796,.051650076,wasm32-wasip1,opt-size,none,3
gzip,62796,.050401009,wasm32-wasip1,opt-size,none,4
gzip,62796,.050161359,wasm32-wasip1,opt-size,none,5
gzip,25526,.051529296,wasm32-wasip1,opt-size,zstd,1
gzip,25526,.053000568,wasm32-wasip1,opt-size,zstd,2
gzip,25526,.050887460,wasm32-wasip1,opt-size,zstd,3
gzip,25526,.053893144,wasm32-wasip1,opt-size,zstd,4
gzip,25526,.053861627,wasm32-wasip1,opt-size,zstd,5
zstd,213124,.098645555,wasm32-wasip1,opt-size,none,1
zstd,213124,.097776668,wasm32-wasip1,opt-size,none,2
zstd,213124,.097372971,wasm32-wasip1,opt-size,none,3
zstd,213124,.096766217,wasm32-wasip1,opt-size,none,4
zstd,213124,.095971112,wasm32-wasip1,opt-size,none,5
zstd,63807,.093314204,wasm32-wasip1,opt-size,zstd,1
zstd,63807,.097485432,wasm32-wasip1,opt-size,zstd,2
zstd,63807,.098457255,wasm32-wasip1,opt-size,zstd,3
zstd,63807,.095842981,wasm32-wasip1,opt-size,zstd,4
zstd,63807,.094257481,wasm32-wasip1,opt-size,zstd,5
pco,186113,.115023893,wasm32-wasip1,opt-size-lvl3,none,1
pco,186113,.113230952,wasm32-wasip1,opt-size-lvl3,none,2
pco,186113,.111827790,wasm32-wasip1,opt-size-lvl3,none,3
pco,186113,.113873624,wasm32-wasip1,opt-size-lvl3,none,4
pco,186113,.114996488,wasm32-wasip1,opt-size-lvl3,none,5
pco,52189,.114822129,wasm32-wasip1,opt-size-lvl3,zstd,1
pco,52189,.116030044,wasm32-wasip1,opt-size-lvl3,zstd,2
pco,52189,.114465301,wasm32-wasip1,opt-size-lvl3,zstd,3
pco,52189,.115718798,wasm32-wasip1,opt-size-lvl3,zstd,4
pco,52189,.115825446,wasm32-wasip1,opt-size-lvl3,zstd,5
lz4,56774,.047327460,wasm32-wasip1,opt-size-lvl3,none,1
lz4,56774,.045647648,wasm32-wasip1,opt-size-lvl3,none,2
lz4,56774,.044551146,wasm32-wasip1,opt-size-lvl3,none,3
lz4,56774,.044028232,wasm32-wasip1,opt-size-lvl3,none,4
lz4,56774,.044758605,wasm32-wasip1,opt-size-lvl3,none,5
lz4,16755,.046154078,wasm32-wasip1,opt-size-lvl3,zstd,1
lz4,16755,.048128305,wasm32-wasip1,opt-size-lvl3,zstd,2
lz4,16755,.048066571,wasm32-wasip1,opt-size-lvl3,zstd,3
lz4,16755,.048549166,wasm32-wasip1,opt-size-lvl3,zstd,4
lz4,16755,.045711166,wasm32-wasip1,opt-size-lvl3,zstd,5
flsbp,308412,.164118456,wasm32-wasip1,opt-size-lvl3,none,1
flsbp,308412,.161991957,wasm32-wasip1,opt-size-lvl3,none,2
flsbp,308412,.161481363,wasm32-wasip1,opt-size-lvl3,none,3
flsbp,308412,.162938457,wasm32-wasip1,opt-size-lvl3,none,4
flsbp,308412,.160780689,wasm32-wasip1,opt-size-lvl3,none,5
flsbp,74358,.164622389,wasm32-wasip1,opt-size-lvl3,zstd,1
flsbp,74358,.164798553,wasm32-wasip1,opt-size-lvl3,zstd,2
flsbp,74358,.164089201,wasm32-wasip1,opt-size-lvl3,zstd,3
flsbp,74358,.163031127,wasm32-wasip1,opt-size-lvl3,zstd,4
flsbp,74358,.167181424,wasm32-wasip1,opt-size-lvl3,zstd,5
fff,9362196,.789200955,wasm32-wasip1,opt-size-lvl3,none,1
fff,9362196,.760133875,wasm32-wasip1,opt-size-lvl3,none,2
fff,9362196,.778834838,wasm32-wasip1,opt-size-lvl3,none,3
fff,9362196,.800812387,wasm32-wasip1,opt-size-lvl3,none,4
fff,9362196,.768625796,wasm32-wasip1,opt-size-lvl3,none,5
fff,1543157,.816735307,wasm32-wasip1,opt-size-lvl3,zstd,1
fff,1543157,.795755653,wasm32-wasip1,opt-size-lvl3,zstd,2
