filename,total_rows,read_time_ms,throughput_mrows_per_sec
core,1000000,262.289,3.81259
bi,1000000,175.473,5.69888
classic,1000000,706.727,1.41497
geo,1000000,451.963,2.21257
log,1000000,156.948,6.37154
ml,1000000,242.133,4.12996
lineitem_duckdb_double,59986052,12919.2,4.64318
hits_8M,8388608,7684.58,1.09162
