filename,num_columns,total_rows,read_time_ms,throughput_mrows_per_sec
2333,10,65536,2.56775,25.5227
10,10,65536,1.48702,44.0719
20,10,65536,1.54004,42.5548
100,10,65536,0.952416,68.8103
1000,10,65536,1.36971,47.8468
10000,10,65536,2.56699,25.5303
50000,10,65536,16.3994,3.99624
100000,10,65536,29.2396,2.24135
