Dataset,F3,Vortex,Parquet,ORC,Lance,Nimble
clickbench,1.427313686789628,1.6567144606390964,0.8681702268587514,,0.6999956608087585,1.14703
lineitem,3.9434413868363616,4.4045210438204885,2.860756225975983,3.03491,2.2269679093561825,5.33167
core,5.307855626326964,4.9504950495049505,4.557885141294439,3.166706,3.1525851197982346,3.7433
bi,7.874015748031496,7.987220447284344,7.836990595611286,4.2735,4.051863857374392,6.13793
classic,1.9260400616332818,1.7921146953405018,1.7482517482517483,1.61657,1.7379214459506431,1.96398
geo,2.662406815761448,2.3331777881474567,2.541942043721403,2.4213139999999997,2.194907813871817,2.60618
log,7.53012048192771,6.485084306095979,5.707762557077626,4.28818,3.3852403520649967,6.34693
ml,4.194630872483222,3.498950314905528,4.291845493562231,1.932,3.4818941504178276,4.15511
